"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"Total:","4,863,300","*****","741,894","*****","6,931,071","*****","2,988,248","*****","39,250,017","*****","5,540,545","*****","3,576,452","*****","952,065","*****","681,170","*****","20,612,439","*****","10,310,371","*****","1,428,557","*****","1,683,140","*****","12,801,539","*****","6,633,053","*****","3,134,693","*****","2,907,289","*****","4,436,974","*****","4,681,666","*****","1,331,479","*****","6,016,447","*****","6,811,779","*****","9,928,300","*****","5,519,952","*****","2,988,726","*****","6,093,000","*****","1,042,520","*****","1,907,116","*****","2,940,058","*****","1,334,795","*****","8,944,469","*****","2,081,015","*****","19,745,289","*****","10,146,788","*****","757,953","*****","11,614,373","*****","3,923,561","*****","4,093,465","*****","12,784,227","*****","1,056,426","*****","4,961,119","*****","865,454","*****","6,651,194","*****","27,862,596","*****","3,051,217","*****","624,594","*****","8,411,808","*****","7,288,000","*****","1,831,102","*****","5,778,709","*****","585,501","*****","3,411,307","*****","323,127,515","*****"
"    White alone","3,316,384","±6,545","477,895","±3,267","5,254,944","±21,891","2,290,066","±5,262","23,420,234","±62,421","4,654,921","±13,381","2,741,892","±12,294","659,091","±5,072","277,268","±3,530","15,574,165","±29,122","6,054,861","±18,041","357,994","±5,134","1,510,119","±7,573","9,123,763","±24,574","5,536,418","±10,307","2,834,162","±5,131","2,458,966","±7,467","3,866,333","±6,634","2,901,495","±5,946","1,257,120","±1,699","3,397,255","±13,132","5,350,175","±16,114","7,793,481","±10,297","4,596,566","±6,383","1,748,734","±4,269","5,011,507","±6,627","927,374","±1,791","1,674,863","±6,044","1,966,690","±14,686","1,247,155","±2,813","6,090,908","±22,621","1,539,634","±11,642","12,530,463","±29,879","6,989,065","±14,006","660,919","±3,096","9,476,221","±11,069","2,841,467","±7,869","3,455,810","±13,019","10,340,877","±15,158","850,105","±6,310","3,342,552","±9,869","732,939","±2,644","5,177,478","±9,138","20,702,709","±41,751","2,633,283","±10,649","589,379","±961","5,707,035","±12,066","5,516,602","±14,010","1,704,195","±2,452","4,941,688","±8,179","538,819","±2,339","2,278,731","±20,296","234,644,039","±111,971"
"    Black or African American alone","1,301,102","±7,468","23,753","±1,978","299,674","±6,611","464,516","±4,871","2,265,280","±14,911","234,142","±5,678","378,932","±7,603","209,911","±4,102","320,554","±2,554","3,310,428","±22,138","3,254,495","±14,771","25,898","±2,036","11,437","±2,001","1,813,477","±9,631","617,745","±7,312","111,867","±3,477","166,551","±4,607","366,157","±6,162","1,514,755","±7,221","19,963","±1,930","1,793,593","±9,302","506,677","±8,067","1,363,336","±9,361","331,308","±5,844","1,134,958","±6,466","702,946","±7,236","3,949","±1,039","89,879","±3,076","260,993","±5,352","16,671","±1,681","1,194,585","±11,078","41,043","±2,715","3,080,534","±18,978","2,182,212","±12,962","19,250","±2,426","1,443,510","±10,409","287,373","±4,830","79,575","±4,274","1,407,047","±11,772","67,526","±4,174","1,337,644","±8,535","14,524","±1,410","1,114,434","±9,305","3,362,283","±16,932","32,800","±2,988","7,893","±1,034","1,601,868","±11,353","266,977","±8,785","69,721","±3,260","361,653","±4,783","5,970","±1,540","395,069","±12,347","40,893,369","±64,285"
"    American Indian and Alaska Native alone","24,509","±3,218","108,056","±3,723","306,247","±6,886","18,859","±2,030","290,133","±15,511","54,743","±4,588","9,887","±2,998","4,055","±1,038","2,004","±567","52,738","±5,590","37,939","±5,767","2,649","±849","26,596","±2,540","30,470","±3,672","17,515","±2,431","10,488","±1,711","21,620","±2,567","11,140","±2,294","25,508","±2,617","7,893","±1,203","15,234","±2,478","12,547","±2,138","51,161","±3,519","63,229","±2,949","13,260","±1,533","30,888","±3,351","66,231","±2,513","15,865","±1,390","34,267","±3,549","1,450","±764","20,185","±3,332","194,133","±4,641","73,052","±6,204","120,843","±4,912","41,649","±2,292","18,081","±2,486","297,948","±7,020","45,426","±4,348","23,556","±3,760","5,304","±1,774","16,010","±2,758","77,378","±3,710","19,053","±2,905","135,275","±9,522","31,702","±2,887","2,177","±936","23,156","±3,519","94,637","±6,519","3,851","±1,223","52,608","±2,643","13,194","±1,467","8,082","±2,395","2,676,399","±33,067"
"    Asian alone","65,611","±3,698","45,580","±3,124","220,438","±4,835","41,781","±2,680","5,602,074","±18,509","175,951","±4,618","161,950","±3,536","35,646","±1,583","26,436","±1,256","559,393","±7,440","398,897","±6,597","543,448","±10,631","24,406","±2,239","684,783","±5,820","141,451","±4,471","74,805","±2,572","79,741","±3,466","61,311","±2,866","77,921","±2,506","17,499","±1,510","376,518","±4,946","440,845","±5,571","292,514","±4,773","258,899","±4,686","26,708","±2,267","117,335","±3,722","8,432","±1,383","41,548","±3,337","244,373","±5,223","32,679","±2,286","854,181","±6,311","32,346","±2,297","1,668,036","±11,780","275,428","±4,413","9,200","±1,807","239,025","±3,799","79,246","±2,991","169,459","±4,996","423,180","±5,309","36,875","±2,185","76,870","±3,837","12,953","±1,806","116,375","±3,917","1,300,300","±10,959","70,150","±3,381","9,406","±1,088","532,320","±7,196","597,215","±8,484","14,133","±1,491","155,252","±3,125","6,012","±1,394","5,691","±1,571","17,556,935","±43,427"
"    Native Hawaiian and Other Pacific Islander alone","1,503","±588","9,937","±849","14,140","±1,489","8,808","±1,292","150,521","±6,036","8,325","±1,566","1,259","±597","2,053","±1,731","41","±68","12,540","±2,425","6,503","±2,014","144,568","±6,675","2,375","±1,144","4,851","±1,396","3,526","±1,505","3,949","±1,754","2,922","±1,343","2,307","±1,047","1,030","±495","214","±200","2,480","±1,196","3,758","±1,532","2,967","±841","1,452","±500","631","±519","9,193","±2,040","578","±331","1,227","±579","20,240","±1,777","66","±87","3,754","±1,973","1,428","±667","9,236","±2,216","6,081","±1,112","233","±278","4,031","±1,045","6,143","±1,280","14,823","±2,564","3,417","±1,040","1,437","±945","2,561","±1,146","218","±228","4,798","±2,309","25,228","±3,345","29,463","±2,219","252","±261","8,379","±2,085","48,182","±3,043","404","±375","1,534","±560","420","±518","193","±196","595,986","±11,433"
"    Some other race alone","70,333","±6,866","12,712","±3,236","585,948","±20,745","86,797","±6,034","5,642,125","±65,579","228,102","±12,919","171,008","±10,843","15,595","±4,525","37,132","±4,302","570,424","±25,434","299,220","±21,983","12,321","±2,548","66,137","±7,319","822,784","±24,826","157,755","±11,013","42,129","±4,612","74,123","±7,806","37,591","±5,245","68,208","±6,424","2,450","±826","230,326","±12,625","285,412","±15,924","118,621","±8,994","111,852","±6,950","30,583","±4,250","71,031","±6,374","3,738","±1,189","38,348","±5,844","274,293","±14,398","8,057","±2,144","543,530","±20,839","206,526","±11,007","1,767,107","±34,876","304,293","±14,221","5,114","±2,109","109,073","±9,109","107,778","±7,573","120,779","±10,539","262,396","±14,058","62,292","±6,199","77,386","±9,581","5,894","±1,933","79,206","±7,466","1,622,087","±41,067","164,775","±9,993","3,163","±1,496","228,627","±12,459","350,251","±13,940","7,494","±1,784","125,644","±7,705","5,782","±1,948","575,686","±19,645","16,334,352","±120,967"
"    Two or more races:","83,858","±7,172","63,961","±5,261","249,680","±13,653","77,421","±6,277","1,879,650","±30,456","184,361","±9,839","111,524","±8,304","25,714","±3,500","17,735","±2,345","532,751","±22,197","258,456","±13,861","341,679","±13,209","42,070","±3,150","321,411","±13,961","158,643","±8,640","57,293","±3,933","103,366","±5,640","92,135","±6,909","92,749","±8,594","26,340","±2,599","201,041","±10,942","212,365","±11,429","306,220","±11,961","156,646","±7,970","33,852","±4,789","150,100","±8,621","32,218","±2,943","45,386","±4,417","139,202","±9,741","28,717","±2,992","237,326","±12,507","65,905","±6,313","616,861","±22,455","268,866","±12,841","21,588","±2,952","324,432","±12,837","303,606","±7,998","207,593","±10,682","323,754","±13,735","32,887","±4,436","108,096","±9,006","21,548","±2,935","139,850","±9,818","714,714","±21,781","89,044","±6,578","12,324","±1,632","310,423","±12,755","414,136","±15,502","31,304","±3,390","140,330","±7,902","15,304","±2,090","147,855","±10,164","10,426,435","±90,471"
"        Two races including Some other race","6,234","±1,867","2,471","±1,127","47,677","±6,631","9,744","±3,265","387,758","±14,520","32,714","±3,540","23,037","±4,745","2,115","±989","2,127","±919","87,007","±8,723","39,125","±5,742","9,171","±1,745","6,791","±2,455","67,653","±6,745","19,324","±3,690","3,661","±1,388","9,093","±2,160","9,385","±1,825","7,506","±2,320","669","±418","21,692","±4,374","30,061","±3,904","26,535","±4,239","14,236","±2,862","1,930","±907","9,875","±2,153","1,486","±627","3,435","±975","22,212","±4,390","2,510","±969","57,276","±5,500","24,708","±4,015","148,081","±12,174","26,131","±4,676","2,880","±1,334","24,953","±3,354","14,120","±2,324","16,485","±3,531","41,390","±5,747","6,927","±2,248","9,158","±2,045","1,556","±878","12,055","±2,519","144,589","±11,011","13,719","±2,960","559","±311","35,061","±4,260","35,409","±4,659","1,399","±739","17,799","±3,375","1,812","±892","16,914","±2,768","1,543,301","±28,829"
"        Two races excluding Some other race, and three or more races","77,624","±7,251","61,490","±5,177","202,003","±11,874","67,677","±5,375","1,491,892","±26,569","151,647","±8,610","88,487","±6,412","23,599","±3,313","15,608","±2,127","445,744","±19,815","219,331","±13,487","332,508","±13,205","35,279","±2,757","253,758","±12,627","139,319","±7,958","53,632","±3,884","94,273","±5,586","82,750","±6,265","85,243","±7,721","25,671","±2,481","179,349","±10,050","182,304","±11,158","279,685","±10,897","142,410","±7,004","31,922","±4,779","140,225","±8,441","30,732","±2,809","41,951","±4,250","116,990","±8,027","26,207","±2,726","180,050","±10,615","41,197","±4,312","468,780","±19,051","242,735","±11,901","18,708","±2,599","299,479","±12,789","289,486","±7,968","191,108","±10,675","282,364","±11,719","25,960","±3,695","98,938","±8,507","19,992","±2,723","127,795","±9,338","570,125","±17,312","75,325","±5,366","11,765","±1,572","275,362","±12,151","378,727","±14,273","29,905","±3,379","122,531","±6,986","13,492","±1,943","130,941","±9,925","8,883,134","±79,439"
